year.mon,n_ibc
2009-04-30,1248
2010-04-30,478
2011-04-30,278
2012-04-30,214
2013-04-30,654
2014-04-30,398
2015-04-30,3056
2016-04-30,1119
2017-04-30,425
2018-04-30,90
2019-04-30,138
2020-04-30,41
2021-04-30,186
2022-04-30,150
2023-04-30,265
2024-04-30,190
2025-04-30,350
2009-08-31,649
2010-08-31,364
2011-08-31,249
2012-08-31,516
2013-08-31,757
2014-08-31,629
2015-08-31,1743
2016-08-31,979
2017-08-31,58
2018-08-31,187
2019-08-31,301
2020-08-31,337
2021-08-31,253
2022-08-31,284
2023-08-31,782
2024-08-31,381
2009-12-31,470
2010-12-31,132
2011-12-31,219
2012-12-31,87
2013-12-31,105
2014-12-31,353
2015-12-31,1552
2016-12-31,164
2017-12-31,100
2018-12-31,85
2019-12-31,387
2020-12-31,134
2021-12-31,454
2022-12-31,349
2023-12-31,200
2024-12-31,294
2009-02-28,1150
2010-02-28,365
2011-02-28,59
2012-02-29,115
2013-02-28,74
2014-02-28,508
2015-02-28,800
2016-02-29,366
2017-02-28,94
2018-02-28,98
2019-02-28,16
2020-02-29,412
2021-02-28,235
2022-02-28,205
2023-02-28,119
2024-02-29,83
2025-02-28,277
2009-01-31,592
2010-01-31,152
2011-01-31,50
2012-01-31,292
2013-01-31,57
2014-01-31,322
2015-01-31,524
2016-01-31,508
2017-01-31,17
2018-01-31,54
2019-01-31,30
2020-01-31,256
2021-01-31,81
2022-01-31,184
2023-01-31,180
2024-01-31,135
2025-01-31,186
2009-07-31,555
2010-07-31,446
2011-07-31,179
2012-07-31,573
2013-07-31,1511
2014-07-31,1063
2015-07-31,1538
2016-07-31,927
2017-07-31,261
2018-07-31,253
2019-07-31,317
2020-07-31,212
2021-07-31,140
2022-07-31,352
2023-07-31,469
2024-07-31,296
2009-06-30,553
2010-06-30,641
2011-06-30,328
2012-06-30,577
2013-06-30,389
2014-06-30,787
2015-06-30,1762
2016-06-30,616
2017-06-30,474
2018-06-30,179
2019-06-30,197
2020-06-30,47
2021-06-30,55
2022-06-30,363
2023-06-30,281
2024-06-30,146
2009-03-31,1524
2010-03-31,448
2011-03-31,464
2012-03-31,610
2013-03-31,350
2014-03-31,467
2015-03-31,340
2016-03-31,1305
2017-03-31,581
2018-03-31,51
2019-03-31,70
2020-03-31,223
2021-03-31,289
2022-03-31,293
2023-03-31,152
2024-03-31,181
2025-03-31,280
2009-05-31,576
2010-05-31,540
2011-05-31,429
2012-05-31,882
2013-05-31,423
2014-05-31,720
2015-05-31,1659
2016-05-31,1096
2017-05-31,660
2018-05-31,134
2019-05-31,162
2020-05-31,27
2021-05-31,186
2022-05-31,250
2023-05-31,236
2024-05-31,326
2009-11-30,370
2010-11-30,271
2011-11-30,337
2012-11-30,609
2013-11-30,220
2014-11-30,531
2015-11-30,1047
2016-11-30,436
2017-11-30,345
2018-11-30,103
2019-11-30,487
2020-11-30,229
2021-11-30,768
2022-11-30,390
2023-11-30,236
2024-11-30,440
2009-10-31,860
2010-10-31,370
2011-10-31,243
2012-10-31,369
2013-10-31,374
2014-10-31,1307
2015-10-31,1862
2016-10-31,512
2017-10-31,214
2018-10-31,180
2019-10-31,548
2020-10-31,108
2021-10-31,593
2022-10-31,273
2023-10-31,337
2024-10-31,487
2009-09-30,568
2010-09-30,412
2011-09-30,176
2012-09-30,194
2013-09-30,710
2014-09-30,590
2015-09-30,1811
2016-09-30,216
2017-09-30,103
2018-09-30,123
2019-09-30,644
2020-09-30,147
2021-09-30,364
2022-09-30,483
2023-09-30,778
2024-09-30,516
